date,II,V5,SpO2,Art,BP,ETCO2
84,0.000000,0.000000,1.707180,0.260648,18.000000,35.375000
85,0.000000,0.000000,1.469101,0.212826,18.000000,35.406250
86,0.000000,0.000000,1.251605,0.173224,18.000000,35.437500
87,0.000000,0.000000,1.056671,0.140619,18.000000,35.468750
88,0.000000,0.000000,0.884931,0.113904,18.000000,35.500000
89,0.000000,0.000000,0.735894,0.092100,18.000000,35.531250
90,0.000000,0.000000,0.608248,0.074363,18.000000,35.562500
91,0.000000,0.000000,0.500145,0.059971,18.000000,35.593750
92,0.000000,0.000000,0.409465,0.026101,18.000000,35.625000
93,0.000000,0.000000,0.334005,0.146561,18.000000,35.656250
94,0.000000,0.000000,0.271628,0.740236,18.000000,35.687500
95,0.000000,0.000000,0.220351,2.500000,18.000000,35.718750
96,0.000000,0.000000,0.178388,4.259764,18.000000,35.750000
97,0.000000,0.000000,0.144176,4.853439,18.000000,35.781250
98,0.000000,0.000000,0.116366,4.995445,18.000000,35.812500
99,0.000000,0.000000,0.093817,4.973899,18.000000,35.843750
100,0.000000,0.000000,0.000138,4.853439,18.000000,35.875000
101,0.000000,0.000000,0.000792,4.259764,18.000000,35.906250
102,0.450000,0.450000,0.004555,2.934848,18.000000,35.937500
103,0.600000,0.600000,0.026101,2.919248,17.976195,35.968750
104,0.450000,0.450000,0.146561,2.900038,17.952390,36.000000
105,0.000000,0.000000,0.740236,2.876453,17.928585,36.031250
106,0.000000,0.000000,2.500000,2.847596,17.904780,36.062500
107,-0.700000,-0.700000,4.259764,2.812437,17.880975,36.093750
108,5.000000,5.000000,4.853439,2.769823,17.857170,36.125000
109,-1.500000,-1.500000,4.973899,2.718497,17.778219,36.156250
110,0.000000,0.000000,4.995445,2.657143,17.699268,36.187500
111,0.000000,0.000000,4.999208,2.584460,17.620317,36.218750
112,0.500000,0.500000,4.924890,2.499272,17.541366,36.250000
113,1.400000,1.400000,4.906751,2.400671,17.462415,36.281250
114,1.600000,1.600000,4.884336,2.288183,17.383464,36.312500
115,1.650000,1.650000,4.856689,2.161953,17.090964,36.343750
116,0.700000,0.700000,4.822675,2.022896,16.798465,36.375000
117,0.200000,0.200000,4.780951,1.872796,16.505966,36.406250
118,0.000000,0.000000,4.729959,1.714293,16.213467,36.437500
119,0.000000,0.000000,4.667922,1.550750,15.920967,36.468750
120,0.000000,0.000000,4.592859,1.385990,15.628468,36.500000
121,0.000000,0.000000,4.502637,1.223951,14.940390,36.531250
122,0.000000,0.000000,4.395055,1.068317,14.252312,36.562500
123,0.000000,0.000000,4.267987,0.922197,13.564234,36.593750
124,0.000000,0.000000,4.119574,0.787911,12.876156,36.625000
125,0.000000,0.000000,3.948484,0.666903,12.188078,36.656250
126,0.000000,0.000000,3.754201,0.559776,11.500000,36.687500
127,0.000000,0.000000,3.537320,0.466418,10.811922,36.718750
128,0.000000,0.000000,3.299781,0.386165,10.123844,36.750000
129,0.000000,0.000000,3.044986,0.317988,9.435766,36.781250
130,0.000000,0.000000,2.777722,0.260648,8.747688,36.812500
131,0.000000,0.000000,2.503873,0.212826,8.059610,36.843750
132,0.000000,0.000000,2.229931,0.173224,7.371532,36.875000
133,0.000000,0.000000,1.962398,0.140619,7.079033,36.906250
134,0.000000,0.000000,1.707180,0.113904,6.786533,36.937500
135,0.000000,0.000000,1.469101,0.092100,6.494034,36.968750
136,0.000000,0.000000,1.251605,0.074363,6.201535,37.000000
137,0.000000,0.000000,1.056671,0.059971,5.909036,37.031250
138,0.000000,0.000000,0.884931,0.026101,5.616536,37.062500
139,0.000000,0.000000,0.735894,0.146561,5.537585,37.093750
140,0.000000,0.000000,0.608248,0.740236,5.458634,37.125000
141,0.000000,0.000000,0.500145,2.500000,5.379683,37.156250
142,0.000000,0.000000,0.409465,4.259764,5.300732,37.187500
143,0.000000,0.000000,0.334005,4.853439,5.221781,37.218750
144,0.000000,0.000000,0.271628,4.995445,5.142830,37.250000
145,0.000000,0.000000,0.220351,4.973899,5.124383,37.281250
146,0.000000,0.000000,0.178388,4.853439,5.105935,37.312500
147,0.000000,0.000000,0.144176,4.259764,5.087487,37.343750
148,0.000000,0.000000,0.116366,2.934848,5.069039,37.375000
149,0.000000,0.000000,0.093817,2.919248,5.050592,37.406250
150,0.000000,0.000000,0.000138,2.900038,5.032144,37.437500
151,0.000000,0.000000,0.000792,2.876453,5.027984,37.468750
152,0.450000,0.450000,0.004555,2.847596,5.023825,37.500000
153,0.600000,0.600000,0.026101,2.812437,5.019665,37.531250
154,0.450000,0.450000,0.146561,2.769823,5.015505,37.562500
155,0.000000,0.000000,0.740236,2.718497,5.011346,37.593750
156,0.000000,0.000000,2.500000,2.657143,5.007186,37.625000
157,-0.700000,-0.700000,4.259764,2.584460,5.006256,37.656250
158,5.000000,5.000000,4.853439,2.499272,5.005325,37.687500
159,-1.500000,-1.500000,4.973899,2.400671,5.004395,37.718750
160,0.000000,0.000000,4.995445,2.288183,5.003465,37.750000
161,0.000000,0.000000,4.999208,2.161953,5.002534,37.781250
162,0.500000,0.500000,4.924890,2.022896,5.001604,37.812500
163,1.400000,1.400000,4.906751,1.872796,5.001396,37.658106
164,1.600000,1.600000,4.884336,1.714293,5.001189,37.503712
165,1.650000,1.650000,4.856689,1.550750,5.000981,37.349318
166,0.700000,0.700000,4.822675,1.385990,5.000773,37.194923
167,0.200000,0.200000,4.780951,1.223951,5.000566,37.040529
168,0.000000,0.000000,4.729959,1.068317,5.000358,36.886135
169,0.000000,0.000000,4.667922,0.922197,5.000312,36.134147
170,0.000000,0.000000,4.592859,0.787911,5.000265,35.382159
171,0.000000,0.000000,4.502637,0.666903,5.000219,34.630171
172,0.000000,0.000000,4.395055,0.559776,5.000173,33.878183
173,0.000000,0.000000,4.267987,0.466418,5.000126,33.126195
174,0.000000,0.000000,4.119574,0.386165,5.000080,32.374206
175,0.000000,0.000000,3.948484,0.317988,5.000070,30.145172
176,0.000000,0.000000,3.754201,0.260648,5.000059,27.916138
177,0.000000,0.000000,3.537320,0.212826,5.000049,25.687103
178,0.000000,0.000000,3.299781,0.173224,5.000039,23.458069
179,0.000000,0.000000,3.044986,0.140619,5.000028,21.229034
180,0.000000,0.000000,2.777722,0.113904,5.000018,19.000000
181,0.000000,0.000000,2.503873,0.092100,5.000016,16.770966
182,0.000000,0.000000,2.229931,0.074363,5.000013,14.541931
183,0.000000,0.000000,1.962398,0.059971,5.000011,12.312897
184,0.000000,0.000000,1.707180,0.026101,5.000009,10.083862
185,0.000000,0.000000,1.469101,0.146561,5.000006,7.854828
186,0.000000,0.000000,1.251605,0.740236,5.000004,5.625794
187,0.000000,0.000000,1.056671,2.500000,5.000003,4.873805
188,0.000000,0.000000,0.884931,4.259764,5.000003,4.121817
189,0.000000,0.000000,0.735894,4.853439,5.000002,3.369829
190,0.000000,0.000000,0.608248,4.995445,5.000002,2.617841
191,0.000000,0.000000,0.500145,4.973899,5.000001,1.865853
192,0.000000,0.000000,0.409465,4.853439,5.000001,1.113865
193,0.000000,0.000000,0.334005,4.259764,5.000001,0.961281
194,0.000000,0.000000,0.271628,2.934848,5.000001,0.808698
195,0.000000,0.000000,0.220351,2.919248,5.000001,0.656115
196,0.000000,0.000000,0.178388,2.900038,5.000000,0.503531
197,0.000000,0.000000,0.144176,2.876453,5.000000,0.350948
198,0.000000,0.000000,0.116366,2.847596,5.000000,0.198365
199,0.000000,0.000000,0.093817,2.812437,5.000000,0.171074
200,0.000000,0.000000,0.000138,2.769823,5.000000,0.143783
201,0.000000,0.000000,0.000792,2.718497,5.000000,0.116492
202,0.450000,0.450000,0.004555,2.657143,5.000000,0.089202
203,0.600000,0.600000,0.026101,2.584460,5.000000,0.061911
204,0.450000,0.450000,0.146561,2.499272,5.000000,0.034620
205,0.000000,0.000000,0.740236,2.400671,5.000000,0.029853
206,0.000000,0.000000,2.500000,2.288183,5.000000,0.025087
207,-0.700000,-0.700000,4.259764,2.161953,5.000000,0.020320
208,5.000000,5.000000,4.853439,2.022896,5.000000,0.015554
209,-1.500000,-1.500000,4.973899,1.872796,5.000000,0.010787
210,0.000000,0.000000,4.995445,1.714293,5.000000,0.006021
211,0.000000,0.000000,4.999208,1.550750,5.000000,0.005192
212,0.500000,0.500000,4.924890,1.385990,5.000000,0.004363
213,1.400000,1.400000,4.906751,1.223951,5.000000,0.003533
214,1.600000,1.600000,4.884336,1.068317,5.000000,0.002704
215,1.650000,1.650000,4.856689,0.922197,5.000000,0.001875
216,0.700000,0.700000,4.822675,0.787911,5.000000,0.001046
217,0.200000,0.200000,4.780951,0.666903,5.000000,0.000902
218,0.000000,0.000000,4.729959,0.559776,5.000000,0.000758
219,0.000000,0.000000,4.667922,0.466418,5.000000,0.000614
220,0.000000,0.000000,4.592859,0.386165,5.000000,0.000470
221,0.000000,0.000000,4.502637,0.317988,5.000000,0.000326
222,0.000000,0.000000,4.395055,0.260648,5.000000,0.000182
223,0.000000,0.000000,4.267987,0.212826,5.000000,0.000157
224,0.000000,0.000000,4.119574,0.173224,5.000000,0.000132
225,0.000000,0.000000,3.948484,0.140619,5.000000,0.000107
226,0.000000,0.000000,3.754201,0.113904,5.000000,0.000082
227,0.000000,0.000000,3.537320,0.092100,5.000000,0.000057
228,0.000000,0.000000,3.299781,0.074363,5.000000,0.000032
229,0.000000,0.000000,3.044986,0.059971,5.000000,0.000027
230,0.000000,0.000000,2.777722,0.026101,5.000000,0.000023
231,0.000000,0.000000,2.503873,0.146561,5.000000,0.000019
232,0.000000,0.000000,2.229931,0.740236,5.000000,0.000014
233,0.000000,0.000000,1.962398,2.500000,5.000000,0.000010
234,0.000000,0.000000,1.707180,4.259764,5.000000,0.000005
235,0.000000,0.000000,1.469101,4.853439,5.000000,0.000005
236,0.000000,0.000000,1.251605,4.995445,5.000000,0.000004
237,0.000000,0.000000,1.056671,4.973899,5.000000,0.000003
238,0.000000,0.000000,0.884931,4.853439,5.000000,0.000002
239,0.000000,0.000000,0.735894,4.259764,5.000000,0.000002
240,0.000000,0.000000,0.608248,2.934848,5.000000,0.000001
241,0.000000,0.000000,0.500145,2.919248,5.000000,0.000001
242,0.000000,0.000000,0.409465,2.900038,5.000000,0.000001
243,0.000000,0.000000,0.334005,2.876453,5.000000,0.000001
244,0.000000,0.000000,0.271628,2.847596,5.000000,0.000000
245,0.000000,0.000000,0.220351,2.812437,5.000000,0.000000
246,0.000000,0.000000,0.178388,2.769823,5.000000,0.000000
247,0.000000,0.000000,0.144176,2.718497,5.000000,0.000000
248,0.000000,0.000000,0.116366,2.657143,5.000000,0.000000
249,0.000000,0.000000,0.093817,2.584460,5.000000,0.000000
250,0.000000,0.000000,0.000138,2.499272,5.000000,0.000000
251,0.000000,0.000000,0.000792,2.400671,5.000000,0.000000
252,0.450000,0.450000,0.004555,2.288183,5.000000,0.000000
253,0.600000,0.600000,0.026101,2.161953,5.000000,0.000000
254,0.450000,0.450000,0.146561,2.022896,5.000000,0.000000
255,0.000000,0.000000,0.740236,1.872796,5.000000,0.000000
256,0.000000,0.000000,2.500000,1.714293,5.000000,0.000000
257,-0.700000,-0.700000,4.259764,1.550750,5.000000,0.000000
258,5.000000,5.000000,4.853439,1.385990,5.000000,0.000000
259,-1.500000,-1.500000,4.973899,1.223951,5.000000,0.000000
260,0.000000,0.000000,4.995445,1.068317,5.000000,0.000000
261,0.000000,0.000000,4.999208,0.922197,5.000000,0.000000
262,0.500000,0.500000,4.924890,0.787911,5.000000,0.000000
263,1.400000,1.400000,4.906751,0.666903,5.000000,0.000000
264,1.600000,1.600000,4.884336,0.559776,5.000000,0.000000
265,1.650000,1.650000,4.856689,0.466418,5.000000,0.000000
266,0.700000,0.700000,4.822675,0.386165,5.000000,0.000000
267,0.200000,0.200000,4.780951,0.317988,5.000000,0.000000
268,0.000000,0.000000,4.729959,0.260648,5.000000,0.000000
269,0.000000,0.000000,4.667922,0.212826,5.000000,0.000000
270,0.000000,0.000000,4.592859,0.173224,5.000000,0.000000
271,0.000000,0.000000,4.502637,0.140619,5.000000,0.000000
272,0.000000,0.000000,4.395055,0.113904,5.000000,0.000000
273,0.000000,0.000000,4.267987,0.092100,5.000000,0.000000
274,0.000000,0.000000,4.119574,0.074363,5.000000,0.000000
275,0.000000,0.000000,3.948484,0.059971,5.000000,0.000000
276,0.000000,0.000000,3.754201,0.026101,5.000000,0.000000
277,0.000000,0.000000,3.537320,0.146561,5.000000,0.000000
278,0.000000,0.000000,3.299781,0.740236,5.000000,0.000000
279,0.000000,0.000000,3.044986,2.500000,5.000000,0.000000
280,0.000000,0.000000,2.777722,4.259764,5.000000,0.000000
281,0.000000,0.000000,2.503873,4.853439,5.000000,0.000000
282,0.000000,0.000000,2.229931,4.995445,5.000000,0.000000
283,0.000000,0.000000,1.962398,4.973899,5.000000,0.000000
284,0.000000,0.000000,1.707180,4.853439,5.000000,0.000000
285,0.000000,0.000000,1.469101,4.259764,5.000000,0.000000
286,0.000000,0.000000,1.251605,2.934848,5.000000,0.000000
287,0.000000,0.000000,1.056671,2.919248,5.000000,0.000000
288,0.000000,0.000000,0.884931,2.900038,5.000000,0.000000
289,0.000000,0.000000,0.735894,2.876453,5.000000,0.000000
290,0.000000,0.000000,0.608248,2.847596,5.000000,0.000000
291,0.000000,0.000000,0.500145,2.812437,5.000000,0.000000
292,0.000000,0.000000,0.409465,2.769823,5.000000,0.000000
293,0.000000,0.000000,0.334005,2.718497,5.000000,0.000000
294,0.000000,0.000000,0.271628,2.657143,5.000000,0.000000
295,0.000000,0.000000,0.220351,2.584460,5.023805,0.014424
296,0.000000,0.000000,0.178388,2.499272,5.047610,0.028847
297,0.000000,0.000000,0.144176,2.400671,5.071415,0.043271
298,0.000000,0.000000,0.116366,2.288183,5.095220,0.057695
299,0.000000,0.000000,0.093817,2.161953,5.119025,0.072118
300,0.000000,0.000000,0.000138,2.022896,5.142830,0.086542
301,0.000000,0.000000,0.000792,1.872796,5.221781,0.111160
302,0.450000,0.450000,0.004555,1.714293,5.300732,0.135778
303,0.600000,0.600000,0.026101,1.550750,5.379683,0.160396
304,0.450000,0.450000,0.146561,1.385990,5.458634,0.185014
305,0.000000,0.000000,0.740236,1.223951,5.537585,0.209632
306,0.000000,0.000000,2.500000,1.068317,5.616536,0.234250
307,-0.700000,-0.700000,4.259764,0.922197,5.909036,0.300128
308,5.000000,5.000000,4.853439,0.787911,6.201535,0.366006
309,-1.500000,-1.500000,4.973899,0.666903,6.494034,0.431884
310,0.000000,0.000000,4.995445,0.559776,6.786533,0.497761
311,0.000000,0.000000,4.999208,0.466418,7.079033,0.563639
312,0.500000,0.500000,4.924890,0.386165,7.371532,0.629517
313,1.400000,1.400000,4.906751,0.317988,8.059610,0.801249
314,1.600000,1.600000,4.884336,0.260648,8.747688,0.972980
315,1.650000,1.650000,4.856689,0.212826,9.435766,1.144711
316,0.700000,0.700000,4.822675,0.173224,10.123844,1.316443
317,0.200000,0.200000,4.780951,0.140619,10.811922,1.488174
318,0.000000,0.000000,4.729959,0.113904,11.500000,1.659906
319,0.000000,0.000000,4.667922,0.092100,12.188078,2.078605
320,0.000000,0.000000,4.592859,0.074363,12.876156,2.497304
321,0.000000,0.000000,4.502637,0.059971,13.564234,2.916004
322,0.000000,0.000000,4.395055,0.026101,14.252312,3.334703
323,0.000000,0.000000,4.267987,0.146561,14.940390,3.753403
324,0.000000,0.000000,4.119574,0.740236,15.628468,4.172102
325,0.000000,0.000000,3.948484,2.500000,15.920967,5.045577
326,0.000000,0.000000,3.754201,4.259764,16.213467,5.919051
327,0.000000,0.000000,3.537320,4.853439,16.505966,6.792526
328,0.000000,0.000000,3.299781,4.995445,16.798465,7.666001
329,0.000000,0.000000,3.044986,4.973899,17.090964,8.539475
330,0.000000,0.000000,2.777722,4.853439,17.383464,9.412950
331,0.000000,0.000000,2.503873,4.259764,17.462415,10.760791
332,0.000000,0.000000,2.229931,2.934848,17.541366,12.108633
333,0.000000,0.000000,1.962398,2.919248,17.620317,13.456475
334,0.000000,0.000000,1.707180,2.900038,17.699268,14.804317
335,0.000000,0.000000,1.469101,2.876453,17.778219,16.152158
336,0.000000,0.000000,1.251605,2.847596,17.857170,17.500000
337,0.000000,0.000000,1.056671,2.812437,17.875617,18.847842
338,0.000000,0.000000,0.884931,2.769823,17.894065,20.195683
339,0.000000,0.000000,0.735894,2.718497,17.912513,21.543525
340,0.000000,0.000000,0.608248,2.657143,17.930961,22.891367
341,0.000000,0.000000,0.500145,2.584460,17.949408,24.239209
342,0.000000,0.000000,0.409465,2.499272,17.967856,25.587050
343,0.000000,0.000000,0.334005,2.400671,17.972016,26.460525
344,0.000000,0.000000,0.271628,2.288183,17.976175,27.333999
345,0.000000,0.000000,0.220351,2.161953,17.980335,28.207474
346,0.000000,0.000000,0.178388,2.022896,17.984495,29.080949
347,0.000000,0.000000,0.144176,1.872796,17.988654,29.954423
348,0.000000,0.000000,0.116366,1.714293,17.992814,30.827898
349,0.000000,0.000000,0.093817,1.550750,17.993744,31.246597
350,0.000000,0.000000,0.000138,1.385990,17.994675,31.665297
351,0.000000,0.000000,0.000792,1.223951,17.995605,32.083996
352,0.450000,0.450000,0.004555,1.068317,17.996535,32.502696
353,0.600000,0.600000,0.026101,0.922197,17.997466,32.921395
354,0.450000,0.450000,0.146561,0.787911,17.998396,33.340094
355,0.000000,0.000000,0.740236,0.666903,17.998604,33.511826
356,0.000000,0.000000,2.500000,0.559776,17.998811,33.683557
357,-0.700000,-0.700000,4.259764,0.466418,17.999019,33.855289
358,5.000000,5.000000,4.853439,0.386165,17.999227,34.027020
359,-1.500000,-1.500000,4.973899,0.317988,17.999434,34.198751
360,0.000000,0.000000,4.995445,0.260648,17.999642,34.370483
361,0.000000,0.000000,4.999208,0.212826,17.999688,34.436361
362,0.500000,0.500000,4.924890,0.173224,17.999735,34.502239
363,1.400000,1.400000,4.906751,0.140619,17.999781,34.568116
364,1.600000,1.600000,4.884336,0.113904,17.999827,34.633994
365,1.650000,1.650000,4.856689,0.092100,17.999874,34.699872
366,0.700000,0.700000,4.822675,0.074363,17.999920,34.765750
367,0.200000,0.200000,4.780951,0.059971,17.999933,34.804792
368,0.000000,0.000000,4.729959,0.026101,17.999947,34.843833
369,0.000000,0.000000,4.667922,0.146561,17.999960,34.882875
370,0.000000,0.000000,4.592859,0.740236,17.999973,34.921917
371,0.000000,0.000000,4.502637,2.500000,17.999987,34.960958
372,0.000000,0.000000,4.395055,4.259764,18.000000,35.000000
373,0.000000,0.000000,4.267987,4.853439,18.000000,35.031250
374,0.000000,0.000000,4.119574,4.995445,18.000000,35.062500
375,0.000000,0.000000,3.948484,4.973899,18.000000,35.093750
376,0.000000,0.000000,3.754201,4.853439,18.000000,35.125000
377,0.000000,0.000000,3.537320,4.259764,18.000000,35.156250
378,0.000000,0.000000,3.299781,2.934848,18.000000,35.187500
379,0.000000,0.000000,3.044986,2.919248,18.000000,35.218750
380,0.000000,0.000000,2.777722,2.900038,18.000000,35.250000
381,0.000000,0.000000,2.503873,2.876453,18.000000,35.281250
382,0.000000,0.000000,2.229931,2.847596,18.000000,35.312500
383,0.000000,0.000000,1.962398,2.812437,18.000000,35.343750
384,0.000000,0.000000,1.707180,2.769823,18.000000,35.375000
385,0.000000,0.000000,1.469101,2.718497,18.000000,35.406250
386,0.000000,0.000000,1.251605,2.657143,18.000000,35.437500
387,0.000000,0.000000,1.056671,2.584460,18.000000,35.468750
388,0.000000,0.000000,0.884931,2.499272,18.000000,35.500000
389,0.000000,0.000000,0.735894,2.400671,18.000000,35.531250
390,0.000000,0.000000,0.608248,2.288183,18.000000,35.562500
391,0.000000,0.000000,0.500145,2.161953,18.000000,35.593750
392,0.000000,0.000000,0.409465,2.022896,18.000000,35.625000
393,0.000000,0.000000,0.334005,1.872796,18.000000,35.656250
394,0.000000,0.000000,0.271628,1.714293,18.000000,35.687500
395,0.000000,0.000000,0.220351,1.550750,18.000000,35.718750
396,0.000000,0.000000,0.178388,1.385990,18.000000,35.750000
397,0.000000,0.000000,0.144176,1.223951,18.000000,35.781250
398,0.000000,0.000000,0.116366,1.068317,18.000000,35.812500
399,0.000000,0.000000,0.093817,0.922197,18.000000,35.843750
400,0.000000,0.000000,0.000138,0.787911,18.000000,35.875000
401,0.000000,0.000000,0.000792,0.666903,18.000000,35.906250
402,0.450000,0.450000,0.004555,0.559776,18.000000,35.937500
403,0.600000,0.600000,0.026101,0.466418,17.976195,35.968750
404,0.450000,0.450000,0.146561,0.386165,17.952390,36.000000
405,0.000000,0.000000,0.740236,0.317988,17.928585,36.031250
406,0.000000,0.000000,2.500000,0.260648,17.904780,36.062500
407,-0.700000,-0.700000,4.259764,0.212826,17.880975,36.093750
408,5.000000,5.000000,4.853439,0.173224,17.857170,36.125000
409,-1.500000,-1.500000,4.973899,0.140619,17.778219,36.156250
410,0.000000,0.000000,4.995445,0.113904,17.699268,36.187500
411,0.000000,0.000000,4.999208,0.092100,17.620317,36.218750
412,0.500000,0.500000,4.924890,0.074363,17.541366,36.250000
413,1.400000,1.400000,4.906751,0.059971,17.462415,36.281250
414,1.600000,1.600000,4.884336,0.026101,17.383464,36.312500
415,1.650000,1.650000,4.856689,0.146561,17.090964,36.343750
416,0.700000,0.700000,4.822675,0.740236,16.798465,36.375000
417,0.200000,0.200000,4.780951,2.500000,16.505966,36.406250
418,0.000000,0.000000,4.729959,4.259764,16.213467,36.437500
419,0.000000,0.000000,4.667922,4.853439,15.920967,36.468750
420,0.000000,0.000000,4.592859,4.995445,15.628468,36.500000
421,0.000000,0.000000,4.502637,4.973899,14.940390,36.531250
422,0.000000,0.000000,4.395055,4.853439,14.252312,36.562500
423,0.000000,0.000000,4.267987,4.259764,13.564234,36.593750
424,0.000000,0.000000,4.119574,2.934848,12.876156,36.625000
425,0.000000,0.000000,3.948484,2.919248,12.188078,36.656250
426,0.000000,0.000000,3.754201,2.900038,11.500000,36.687500
427,0.000000,0.000000,3.537320,2.876453,10.811922,36.718750
428,0.000000,0.000000,3.299781,2.847596,10.123844,36.750000
429,0.000000,0.000000,3.044986,2.812437,9.435766,36.781250
430,0.000000,0.000000,2.777722,2.769823,8.747688,36.812500
431,0.000000,0.000000,2.503873,2.718497,8.059610,36.843750
432,0.000000,0.000000,2.229931,2.657143,7.371532,36.875000
433,0.000000,0.000000,1.962398,2.584460,7.079033,36.906250
