date,II,V5,SpO2,Art,BP,ETCO2,QRS,ST,QT,PR,SystBP,DiasBP,MAP
40,0,0,0.608248,0.173224,17.930961,22.891367,0.12,0.027,0.39,0.21,98,60,72.666667
41,0,0,0.500145,0.140619,17.949408,24.239209,0.12,0.027,0.39,0.21,98,60,72.666667
42,0,0,0.409465,0.113904,17.967856,25.58705,0.12,0.027,0.39,0.21,98,60,72.666667
43,0,0,0.334005,0.0921,17.972016,26.460525,0.12,0.027,0.39,0.21,98,60,72.666667
44,0,0,0.271628,0.074363,17.976175,27.333999,0.12,0.027,0.39,0.21,98,60,72.666667
45,0,0,0.220351,0.059971,17.980335,28.207474,0.12,0.027,0.39,0.21,98,60,72.666667
46,0,0,0.178388,0.026101,17.984495,29.080949,0.12,0.027,0.39,0.21,98,60,72.666667
47,0,0,0.144176,0.146561,17.988654,29.954423,0.12,0.027,0.39,0.21,98,60,72.666667
48,0,0,0.116366,0.740236,17.992814,30.827898,0.12,0.027,0.39,0.21,98,60,72.666667
49,0,0,0.093817,2.5,17.993744,31.246597,0.12,0.027,0.39,0.21,98,60,72.666667
50,0,0,0.000138,4.259764,17.994675,31.665297,0.12,0.027,0.39,0.21,98,60,72.666667
51,0,0,0.000792,4.853439,17.995605,32.083996,0.12,0.027,0.39,0.21,98,60,72.666667
52,0.45,0.45,0.004555,4.995445,17.996535,32.502696,0.12,0.027,0.39,0.21,98,60,72.666667
53,0.6,0.6,0.026101,4.973899,17.997466,32.921395,0.12,0.027,0.39,0.21,98,60,72.666667
54,0.45,0.45,0.146561,4.853439,17.998396,33.340094,0.12,0.027,0.39,0.21,98,60,72.666667
55,0,0,0.740236,4.259764,17.998604,33.511826,0.12,0.027,0.39,0.21,98,60,72.666667
56,0,0,2.5,2.934848,17.998811,33.683557,0.12,0.027,0.39,0.21,98,60,72.666667
57,-0.7,-0.7,4.259764,2.919248,17.999019,33.855289,0.12,0.027,0.39,0.21,98,60,72.666667
58,5,5,4.853439,2.900038,17.999227,34.02702,0.12,0.027,0.39,0.21,98,60,72.666667
59,-1.5,-1.5,4.973899,2.876453,17.999434,34.198751,0.12,0.027,0.39,0.21,98,60,72.666667
60,0,0,4.995445,2.847596,17.999642,34.370483,0.11,0.03,0.35,0.15,91,72,78.333333
61,0,0,4.999208,2.812437,17.999688,34.436361,0.11,0.03,0.35,0.15,91,72,78.333333
62,0.5,0.5,4.92489,2.769823,17.999735,34.502239,0.11,0.03,0.35,0.15,91,72,78.333333
63,1.4,1.4,4.906751,2.718497,17.999781,34.568116,0.11,0.03,0.35,0.15,91,72,78.333333
64,1.6,1.6,4.884336,2.657143,17.999827,34.633994,0.11,0.03,0.35,0.15,91,72,78.333333
65,1.65,1.65,4.856689,2.58446,17.999874,34.699872,0.11,0.03,0.35,0.15,91,72,78.333333
66,0.7,0.7,4.822675,2.499272,17.99992,34.76575,0.11,0.03,0.35,0.15,91,72,78.333333
67,0.2,0.2,4.780951,2.400671,17.999933,34.804792,0.11,0.03,0.35,0.15,91,72,78.333333
68,0,0,4.729959,2.288183,17.999947,34.843833,0.11,0.03,0.35,0.15,91,72,78.333333
69,0,0,4.667922,2.161953,17.99996,34.882875,0.11,0.03,0.35,0.15,91,72,78.333333
70,0,0,4.592859,2.022896,17.999973,34.921917,0.11,0.03,0.35,0.15,91,72,78.333333
71,0,0,4.502637,1.872796,17.999987,34.960958,0.11,0.03,0.35,0.15,91,72,78.333333
72,0,0,4.395055,1.714293,18,35,0.11,0.03,0.35,0.15,91,72,78.333333
73,0,0,4.267987,1.55075,18,35.03125,0.11,0.03,0.35,0.15,91,72,78.333333
74,0,0,4.119574,1.38599,18,35.0625,0.11,0.03,0.35,0.15,91,72,78.333333
75,0,0,3.948484,1.223951,18,35.09375,0.11,0.03,0.35,0.15,91,72,78.333333
76,0,0,3.754201,1.068317,18,35.125,0.11,0.03,0.35,0.15,91,72,78.333333
77,0,0,3.53732,0.922197,18,35.15625,0.11,0.03,0.35,0.15,91,72,78.333333
78,0,0,3.299781,0.787911,18,35.1875,0.11,0.03,0.35,0.15,91,72,78.333333
79,0,0,3.044986,0.666903,18,35.21875,0.11,0.03,0.35,0.15,91,72,78.333333
80,0,0,2.777722,0.559776,18,35.25,0.11,0.03,0.35,0.15,91,72,78.333333
81,0,0,2.503873,0.466418,18,35.28125,0.11,0.03,0.35,0.15,91,72,78.333333
82,0,0,2.229931,0.386165,18,35.3125,0.11,0.03,0.35,0.15,91,72,78.333333
83,0,0,1.962398,0.317988,18,35.34375,0.11,0.03,0.35,0.15,91,72,78.333333
84,0,0,1.70718,0.260648,18,35.375,0.11,0.03,0.35,0.15,91,72,78.333333
85,0,0,1.469101,0.212826,18,35.40625,0.11,0.03,0.35,0.15,91,72,78.333333
86,0,0,1.251605,0.173224,18,35.4375,0.11,0.03,0.35,0.15,91,72,78.333333
87,0,0,1.056671,0.140619,18,35.46875,0.11,0.03,0.35,0.15,91,72,78.333333
88,0,0,0.884931,0.113904,18,35.5,0.11,0.03,0.35,0.15,91,72,78.333333
89,0,0,0.735894,0.0921,18,35.53125,0.11,0.03,0.35,0.15,91,72,78.333333
90,0,0,0.608248,0.074363,18,35.5625,0.11,0.03,0.35,0.15,91,72,78.333333
91,0,0,0.500145,0.059971,18,35.59375,0.11,0.03,0.35,0.15,91,72,78.333333
92,0,0,0.409465,0.026101,18,35.625,0.11,0.03,0.35,0.15,91,72,78.333333
93,0,0,0.334005,0.146561,18,35.65625,0.11,0.03,0.35,0.15,91,72,78.333333
94,0,0,0.271628,0.740236,18,35.6875,0.11,0.03,0.35,0.15,91,72,78.333333
95,0,0,0.220351,2.5,18,35.71875,0.11,0.03,0.35,0.15,91,72,78.333333
96,0,0,0.178388,4.259764,18,35.75,0.11,0.03,0.35,0.15,91,72,78.333333
97,0,0,0.144176,4.853439,18,35.78125,0.11,0.03,0.35,0.15,91,72,78.333333
98,0,0,0.116366,4.995445,18,35.8125,0.11,0.03,0.35,0.15,91,72,78.333333
99,0,0,0.093817,4.973899,18,35.84375,0.11,0.03,0.35,0.15,91,72,78.333333
100,0,0,0.000138,4.853439,18,35.875,0.11,0.03,0.35,0.15,91,72,78.333333
101,0,0,0.000792,4.259764,18,35.90625,0.11,0.03,0.35,0.15,91,72,78.333333
102,0.45,0.45,0.004555,2.934848,18,35.9375,0.11,0.03,0.35,0.15,91,72,78.333333
103,0.6,0.6,0.026101,2.919248,17.976195,35.96875,0.11,0.03,0.35,0.15,91,72,78.333333
104,0.45,0.45,0.146561,2.900038,17.95239,36,0.11,0.03,0.35,0.15,91,72,78.333333
105,0,0,0.740236,2.876453,17.928585,36.03125,0.11,0.03,0.35,0.15,91,72,78.333333
106,0,0,2.5,2.847596,17.90478,36.0625,0.11,0.03,0.35,0.15,91,72,78.333333
107,-0.7,-0.7,4.259764,2.812437,17.880975,36.09375,0.11,0.03,0.35,0.15,91,72,78.333333
108,5,5,4.853439,2.769823,17.85717,36.125,0.11,0.03,0.35,0.15,91,72,78.333333
109,-1.5,-1.5,4.973899,2.718497,17.778219,36.15625,0.11,0.03,0.35,0.15,91,72,78.333333
110,0,0,4.995445,2.657143,17.699268,36.1875,0.11,0.03,0.35,0.15,91,72,78.333333
111,0,0,4.999208,2.58446,17.620317,36.21875,0.11,0.03,0.35,0.15,91,72,78.333333
112,0.5,0.5,4.92489,2.499272,17.541366,36.25,0.11,0.03,0.35,0.15,91,72,78.333333
113,1.4,1.4,4.906751,2.400671,17.462415,36.28125,0.11,0.03,0.35,0.15,91,72,78.333333
114,1.6,1.6,4.884336,2.288183,17.383464,36.3125,0.11,0.03,0.35,0.15,91,72,78.333333
115,1.65,1.65,4.856689,2.161953,17.090964,36.34375,0.11,0.03,0.35,0.15,91,72,78.333333
116,0.7,0.7,4.822675,2.022896,16.798465,36.375,0.11,0.03,0.35,0.15,91,72,78.333333
117,0.2,0.2,4.780951,1.872796,16.505966,36.40625,0.11,0.03,0.35,0.15,91,72,78.333333
118,0,0,4.729959,1.714293,16.213467,36.4375,0.11,0.03,0.35,0.15,91,72,78.333333
119,0,0,4.667922,1.55075,15.920967,36.46875,0.11,0.03,0.35,0.15,91,72,78.333333
120,0,0,4.592859,1.38599,15.628468,36.5,0.1,0.122,0.4,0.17,93,67,75.666667
121,0,0,4.502637,1.223951,14.94039,36.53125,0.1,0.122,0.4,0.17,93,67,75.666667
122,0,0,4.395055,1.068317,14.252312,36.5625,0.1,0.122,0.4,0.17,93,67,75.666667
123,0,0,4.267987,0.922197,13.564234,36.59375,0.1,0.122,0.4,0.17,93,67,75.666667
124,0,0,4.119574,0.787911,12.876156,36.625,0.1,0.122,0.4,0.17,93,67,75.666667
125,0,0,3.948484,0.666903,12.188078,36.65625,0.1,0.122,0.4,0.17,93,67,75.666667
126,0,0,3.754201,0.559776,11.5,36.6875,0.1,0.122,0.4,0.17,93,67,75.666667
127,0,0,3.53732,0.466418,10.811922,36.71875,0.1,0.122,0.4,0.17,93,67,75.666667
128,0,0,3.299781,0.386165,10.123844,36.75,0.1,0.122,0.4,0.17,93,67,75.666667
129,0,0,3.044986,0.317988,9.435766,36.78125,0.1,0.122,0.4,0.17,93,67,75.666667
130,0,0,2.777722,0.260648,8.747688,36.8125,0.1,0.122,0.4,0.17,93,67,75.666667
131,0,0,2.503873,0.212826,8.05961,36.84375,0.1,0.122,0.4,0.17,93,67,75.666667
132,0,0,2.229931,0.173224,7.371532,36.875,0.1,0.122,0.4,0.17,93,67,75.666667
133,0,0,1.962398,0.140619,7.079033,36.90625,0.1,0.122,0.4,0.17,93,67,75.666667
134,0,0,1.70718,0.113904,6.786533,36.9375,0.1,0.122,0.4,0.17,93,67,75.666667
135,0,0,1.469101,0.0921,6.494034,36.96875,0.1,0.122,0.4,0.17,93,67,75.666667
136,0,0,1.251605,0.074363,6.201535,37,0.1,0.122,0.4,0.17,93,67,75.666667
137,0,0,1.056671,0.059971,5.909036,37.03125,0.1,0.122,0.4,0.17,93,67,75.666667
138,0,0,0.884931,0.026101,5.616536,37.0625,0.1,0.122,0.4,0.17,93,67,75.666667
139,0,0,0.735894,0.146561,5.537585,37.09375,0.1,0.122,0.4,0.17,93,67,75.666667
140,0,0,0.608248,0.740236,5.458634,37.125,0.1,0.122,0.4,0.17,93,67,75.666667
141,0,0,0.500145,2.5,5.379683,37.15625,0.1,0.122,0.4,0.17,93,67,75.666667
142,0,0,0.409465,4.259764,5.300732,37.1875,0.1,0.122,0.4,0.17,93,67,75.666667
143,0,0,0.334005,4.853439,5.221781,37.21875,0.1,0.122,0.4,0.17,93,67,75.666667
144,0,0,0.271628,4.995445,5.14283,37.25,0.1,0.122,0.4,0.17,93,67,75.666667
145,0,0,0.220351,4.973899,5.124383,37.28125,0.1,0.122,0.4,0.17,93,67,75.666667
146,0,0,0.178388,4.853439,5.105935,37.3125,0.1,0.122,0.4,0.17,93,67,75.666667
147,0,0,0.144176,4.259764,5.087487,37.34375,0.1,0.122,0.4,0.17,93,67,75.666667
148,0,0,0.116366,2.934848,5.069039,37.375,0.1,0.122,0.4,0.17,93,67,75.666667
149,0,0,0.093817,2.919248,5.050592,37.40625,0.1,0.122,0.4,0.17,93,67,75.666667
150,0,0,0.000138,2.900038,5.032144,37.4375,0.1,0.122,0.4,0.17,93,67,75.666667
151,0,0,0.000792,2.876453,5.027984,37.46875,0.1,0.122,0.4,0.17,93,67,75.666667
152,0.45,0.45,0.004555,2.847596,5.023825,37.5,0.1,0.122,0.4,0.17,93,67,75.666667
153,0.6,0.6,0.026101,2.812437,5.019665,37.53125,0.1,0.122,0.4,0.17,93,67,75.666667
154,0.45,0.45,0.146561,2.769823,5.015505,37.5625,0.1,0.122,0.4,0.17,93,67,75.666667
155,0,0,0.740236,2.718497,5.011346,37.59375,0.1,0.122,0.4,0.17,93,67,75.666667
156,0,0,2.5,2.657143,5.007186,37.625,0.1,0.122,0.4,0.17,93,67,75.666667
157,-0.7,-0.7,4.259764,2.58446,5.006256,37.65625,0.1,0.122,0.4,0.17,93,67,75.666667
158,5,5,4.853439,2.499272,5.005325,37.6875,0.1,0.122,0.4,0.17,93,67,75.666667
159,-1.5,-1.5,4.973899,2.400671,5.004395,37.71875,0.1,0.122,0.4,0.17,93,67,75.666667
160,0,0,4.995445,2.288183,5.003465,37.75,0.1,0.122,0.4,0.17,93,67,75.666667
161,0,0,4.999208,2.161953,5.002534,37.78125,0.1,0.122,0.4,0.17,93,67,75.666667
162,0.5,0.5,4.92489,2.022896,5.001604,37.8125,0.1,0.122,0.4,0.17,93,67,75.666667
163,1.4,1.4,4.906751,1.872796,5.001396,37.658106,0.1,0.122,0.4,0.17,93,67,75.666667
164,1.6,1.6,4.884336,1.714293,5.001189,37.503712,0.1,0.122,0.4,0.17,93,67,75.666667
165,1.65,1.65,4.856689,1.55075,5.000981,37.349318,0.1,0.122,0.4,0.17,93,67,75.666667
166,0.7,0.7,4.822675,1.38599,5.000773,37.194923,0.1,0.122,0.4,0.17,93,67,75.666667
167,0.2,0.2,4.780951,1.223951,5.000566,37.040529,0.1,0.122,0.4,0.17,93,67,75.666667
168,0,0,4.729959,1.068317,5.000358,36.886135,0.1,0.122,0.4,0.17,93,67,75.666667
169,0,0,4.667922,0.922197,5.000312,36.134147,0.1,0.122,0.4,0.17,93,67,75.666667
170,0,0,4.592859,0.787911,5.000265,35.382159,0.1,0.122,0.4,0.17,93,67,75.666667
171,0,0,4.502637,0.666903,5.000219,34.630171,0.1,0.122,0.4,0.17,93,67,75.666667
172,0,0,4.395055,0.559776,5.000173,33.878183,0.1,0.122,0.4,0.17,93,67,75.666667
173,0,0,4.267987,0.466418,5.000126,33.126195,0.1,0.122,0.4,0.17,93,67,75.666667
174,0,0,4.119574,0.386165,5.00008,32.374206,0.1,0.122,0.4,0.17,93,67,75.666667
175,0,0,3.948484,0.317988,5.00007,30.145172,0.1,0.122,0.4,0.17,93,67,75.666667
176,0,0,3.754201,0.260648,5.000059,27.916138,0.1,0.122,0.4,0.17,93,67,75.666667
177,0,0,3.53732,0.212826,5.000049,25.687103,0.1,0.122,0.4,0.17,93,67,75.666667
178,0,0,3.299781,0.173224,5.000039,23.458069,0.1,0.122,0.4,0.17,93,67,75.666667
179,0,0,3.044986,0.140619,5.000028,21.229034,0.1,0.122,0.4,0.17,93,67,75.666667
180,0,0,2.777722,0.113904,5.000018,19,0.08,0.111,0.41,0.17,96,74,81.333333
181,0,0,2.503873,0.0921,5.000016,16.770966,0.08,0.111,0.41,0.17,96,74,81.333333
182,0,0,2.229931,0.074363,5.000013,14.541931,0.08,0.111,0.41,0.17,96,74,81.333333
183,0,0,1.962398,0.059971,5.000011,12.312897,0.08,0.111,0.41,0.17,96,74,81.333333
184,0,0,1.70718,0.026101,5.000009,10.083862,0.08,0.111,0.41,0.17,96,74,81.333333
185,0,0,1.469101,0.146561,5.000006,7.854828,0.08,0.111,0.41,0.17,96,74,81.333333
186,0,0,1.251605,0.740236,5.000004,5.625794,0.08,0.111,0.41,0.17,96,74,81.333333
187,0,0,1.056671,2.5,5.000003,4.873805,0.08,0.111,0.41,0.17,96,74,81.333333
188,0,0,0.884931,4.259764,5.000003,4.121817,0.08,0.111,0.41,0.17,96,74,81.333333
189,0,0,0.735894,4.853439,5.000002,3.369829,0.08,0.111,0.41,0.17,96,74,81.333333
190,0,0,0.608248,4.995445,5.000002,2.617841,0.08,0.111,0.41,0.17,96,74,81.333333
191,0,0,0.500145,4.973899,5.000001,1.865853,0.08,0.111,0.41,0.17,96,74,81.333333
192,0,0,0.409465,4.853439,5.000001,1.113865,0.08,0.111,0.41,0.17,96,74,81.333333
193,0,0,0.334005,4.259764,5.000001,0.961281,0.08,0.111,0.41,0.17,96,74,81.333333
194,0,0,0.271628,2.934848,5.000001,0.808698,0.08,0.111,0.41,0.17,96,74,81.333333
195,0,0,0.220351,2.919248,5.000001,0.656115,0.08,0.111,0.41,0.17,96,74,81.333333
196,0,0,0.178388,2.900038,5,0.503531,0.08,0.111,0.41,0.17,96,74,81.333333
197,0,0,0.144176,2.876453,5,0.350948,0.08,0.111,0.41,0.17,96,74,81.333333
198,0,0,0.116366,2.847596,5,0.198365,0.08,0.111,0.41,0.17,96,74,81.333333
199,0,0,0.093817,2.812437,5,0.171074,0.08,0.111,0.41,0.17,96,74,81.333333
200,0,0,0.000138,2.769823,5,0.143783,0.08,0.111,0.41,0.17,96,74,81.333333
201,0,0,0.000792,2.718497,5,0.116492,0.08,0.111,0.41,0.17,96,74,81.333333
202,0.45,0.45,0.004555,2.657143,5,0.089202,0.08,0.111,0.41,0.17,96,74,81.333333
203,0.6,0.6,0.026101,2.58446,5,0.061911,0.08,0.111,0.41,0.17,96,74,81.333333
204,0.45,0.45,0.146561,2.499272,5,0.03462,0.08,0.111,0.41,0.17,96,74,81.333333
205,0,0,0.740236,2.400671,5,0.029853,0.08,0.111,0.41,0.17,96,74,81.333333
206,0,0,2.5,2.288183,5,0.025087,0.08,0.111,0.41,0.17,96,74,81.333333
207,-0.7,-0.7,4.259764,2.161953,5,0.02032,0.08,0.111,0.41,0.17,96,74,81.333333
208,5,5,4.853439,2.022896,5,0.015554,0.08,0.111,0.41,0.17,96,74,81.333333
209,-1.5,-1.5,4.973899,1.872796,5,0.010787,0.08,0.111,0.41,0.17,96,74,81.333333
210,0,0,4.995445,1.714293,5,0.006021,0.08,0.111,0.41,0.17,96,74,81.333333
211,0,0,4.999208,1.55075,5,0.005192,0.08,0.111,0.41,0.17,96,74,81.333333
212,0.5,0.5,4.92489,1.38599,5,0.004363,0.08,0.111,0.41,0.17,96,74,81.333333
213,1.4,1.4,4.906751,1.223951,5,0.003533,0.08,0.111,0.41,0.17,96,74,81.333333
214,1.6,1.6,4.884336,1.068317,5,0.002704,0.08,0.111,0.41,0.17,96,74,81.333333
215,1.65,1.65,4.856689,0.922197,5,0.001875,0.08,0.111,0.41,0.17,96,74,81.333333
216,0.7,0.7,4.822675,0.787911,5,0.001046,0.08,0.111,0.41,0.17,96,74,81.333333
217,0.2,0.2,4.780951,0.666903,5,0.000902,0.08,0.111,0.41,0.17,96,74,81.333333
218,0,0,4.729959,0.559776,5,0.000758,0.08,0.111,0.41,0.17,96,74,81.333333
219,0,0,4.667922,0.466418,5,0.000614,0.08,0.111,0.41,0.17,96,74,81.333333
220,0,0,4.592859,0.386165,5,0.00047,0.08,0.111,0.41,0.17,96,74,81.333333
221,0,0,4.502637,0.317988,5,0.000326,0.08,0.111,0.41,0.17,96,74,81.333333
222,0,0,4.395055,0.260648,5,0.000182,0.08,0.111,0.41,0.17,96,74,81.333333
223,0,0,4.267987,0.212826,5,0.000157,0.08,0.111,0.41,0.17,96,74,81.333333
224,0,0,4.119574,0.173224,5,0.000132,0.08,0.111,0.41,0.17,96,74,81.333333
225,0,0,3.948484,0.140619,5,0.000107,0.08,0.111,0.41,0.17,96,74,81.333333
226,0,0,3.754201,0.113904,5,0.000082,0.08,0.111,0.41,0.17,96,74,81.333333
227,0,0,3.53732,0.0921,5,0.000057,0.08,0.111,0.41,0.17,96,74,81.333333
228,0,0,3.299781,0.074363,5,0.000032,0.08,0.111,0.41,0.17,96,74,81.333333
229,0,0,3.044986,0.059971,5,0.000027,0.08,0.111,0.41,0.17,96,74,81.333333
230,0,0,2.777722,0.026101,5,0.000023,0.08,0.111,0.41,0.17,96,74,81.333333
231,0,0,2.503873,0.146561,5,0.000019,0.08,0.111,0.41,0.17,96,74,81.333333
232,0,0,2.229931,0.740236,5,0.000014,0.08,0.111,0.41,0.17,96,74,81.333333
233,0,0,1.962398,2.5,5,0.00001,0.08,0.111,0.41,0.17,96,74,81.333333
234,0,0,1.70718,4.259764,5,0.000005,0.08,0.111,0.41,0.17,96,74,81.333333
235,0,0,1.469101,4.853439,5,0.000005,0.08,0.111,0.41,0.17,96,74,81.333333
236,0,0,1.251605,4.995445,5,0.000004,0.08,0.111,0.41,0.17,96,74,81.333333
237,0,0,1.056671,4.973899,5,0.000003,0.08,0.111,0.41,0.17,96,74,81.333333
238,0,0,0.884931,4.853439,5,0.000002,0.08,0.111,0.41,0.17,96,74,81.333333
239,0,0,0.735894,4.259764,5,0.000002,0.08,0.111,0.41,0.17,96,74,81.333333
240,0,0,0.608248,2.934848,5,0.000001,0.08,0.032,0.39,0.17,117,76,89.666667
241,0,0,0.500145,2.919248,5,0.000001,0.08,0.032,0.39,0.17,117,76,89.666667
242,0,0,0.409465,2.900038,5,0.000001,0.08,0.032,0.39,0.17,117,76,89.666667
243,0,0,0.334005,2.876453,5,0.000001,0.08,0.032,0.39,0.17,117,76,89.666667
244,0,0,0.271628,2.847596,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
245,0,0,0.220351,2.812437,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
246,0,0,0.178388,2.769823,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
247,0,0,0.144176,2.718497,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
248,0,0,0.116366,2.657143,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
249,0,0,0.093817,2.58446,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
250,0,0,0.000138,2.499272,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
251,0,0,0.000792,2.400671,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
252,0.45,0.45,0.004555,2.288183,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
253,0.6,0.6,0.026101,2.161953,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
254,0.45,0.45,0.146561,2.022896,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
255,0,0,0.740236,1.872796,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
256,0,0,2.5,1.714293,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
257,-0.7,-0.7,4.259764,1.55075,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
258,5,5,4.853439,1.38599,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
259,-1.5,-1.5,4.973899,1.223951,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
260,0,0,4.995445,1.068317,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
261,0,0,4.999208,0.922197,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
262,0.5,0.5,4.92489,0.787911,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
263,1.4,1.4,4.906751,0.666903,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
264,1.6,1.6,4.884336,0.559776,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
265,1.65,1.65,4.856689,0.466418,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
266,0.7,0.7,4.822675,0.386165,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
267,0.2,0.2,4.780951,0.317988,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
268,0,0,4.729959,0.260648,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
269,0,0,4.667922,0.212826,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
270,0,0,4.592859,0.173224,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
271,0,0,4.502637,0.140619,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
272,0,0,4.395055,0.113904,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
273,0,0,4.267987,0.0921,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
274,0,0,4.119574,0.074363,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
275,0,0,3.948484,0.059971,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
276,0,0,3.754201,0.026101,5,0,0.08,0.032,0.39,0.17,117,76,89.666667
